# Colombia, número de unidades aprobadas para vivienda
# 88 municipios 2009 - 2017

#        Total VivieVivienda de interés social       Vivienda no VIS
fecha                    Totalviv   Totalvis   Casasvis  Aparvis     Total       Casas     Apar
          Septiembre     15.299     6.332       978       5.354      8.967     2.283       6.684
          Octubre        13.037     4.010       173       3.837      9.027     2.009       7.018
          Noviembre      17.123     8.562       582       7.980      8.561     2.156       6.405
          Diciembre      21.092     9.937       639       9.298     11.155     2.508       8.647
          Enero           9.847     3.304       159       3.145      6.543     2.039       4.504
          Febrero        13.496     3.839       455       3.384      9.657     1.531       8.126
          Marzo          13.436     5.101     1.221       3.880      8.335     2.282       6.053
          Abril          11.955     5.684       331       5.353      6.271     1.924       4.347
          Mayo           11.412     2.641       657       1.984      8.771     2.289       6.482
          Junio          11.597     3.859     1.173       2.686      7.738     2.299       5.439
# Fuente. DANE
# Fecha de publicación: 14 de agosto de 2017































































































































