Fecha		Ap	Pb   ENSO
26/10/1998       112.66              55.99628439      -1.3
27/10/1998       101.47              55.00344246      -1.3
28/10/1998       148.36              54.09885316      -1.3
29/10/1998       127.03              53.30457962      -1.3
30/10/1998       128.35              54.45186362      -1.3
31/10/1998       112.02               48.5830647      -1.3
01/11/1998        99.82              48.98305163      -1.4
02/11/1998         99.1              51.42779927      -1.4
03/11/1998        94.37              52.15461613      -1.4
04/11/1998       109.04              52.33081416      -1.4
05/11/1998       117.81              69.86251789      -1.4
06/11/1998       159.26              55.06188358      -1.4
07/11/1998       136.83              56.84588861      -1.4
08/11/1998       107.27              54.26899246      -1.4
09/11/1998       111.42              50.85515568      -1.4
10/11/1998       107.01              57.66080449      -1.4
11/11/1998       119.87              49.81999226      -1.4
12/11/1998        94.02              44.40190292      -1.4
13/11/1998       123.11              53.65229936      -1.4
14/11/1998       123.73              47.83776446      -1.4
15/11/1998       131.97              46.91272481      -1.4
16/11/1998       105.43              46.16388319      -1.4
17/11/1998       122.17               57.1322104      -1.4
18/11/1998        89.43              54.57733901      -1.4
19/11/1998        76.39              55.54642816      -1.4
20/11/1998       107.88              55.23808161      -1.4
21/11/1998        110.5              53.60824985      -1.4
22/11/1998       167.47              48.69672984      -1.4
23/11/1998       145.09              54.13684394      -1.4
24/11/1998       112.12              53.89457165      -1.4
25/11/1998       100.28              62.30802746      -1.4
26/11/1998        99.98              62.39612647      -1.4
27/11/1998        93.81              50.50275962      -1.4
28/11/1998        84.55              55.03985883      -1.4
29/11/1998        77.95              47.44131889      -1.4
30/11/1998         89.4               56.7577896      -1.4
01/12/1998       111.02              61.92141242      -1.5
02/12/1998       135.47              68.01096972      -1.5
03/12/1998       144.39              61.63766961      -1.5
04/12/1998       176.18              60.76461479      -1.5
05/12/1998       129.36              48.60732656      -1.5
06/12/1998        132.7              45.98816213      -1.5
07/12/1998        156.9              46.49016865      -1.5
08/12/1998       145.07              46.07546761      -1.5
09/12/1998       144.37              45.00597547      -1.5
10/12/1998       131.74              50.65900537      -1.5
11/12/1998       129.42               58.5601514      -1.5
12/12/1998       106.67              50.39708892      -1.5
13/12/1998       116.88              45.07145458      -1.5
14/12/1998       102.66              48.49819471      -1.5
15/12/1998       131.48              60.45904561      -1.5
16/12/1998        70.65              48.19262553      -1.5
17/12/1998       117.57              48.52002108      -1.5
18/12/1998        83.06              47.51600805      -1.5
19/12/1998        81.59              56.31203526      -1.5
20/12/1998        81.47              48.30175738      -1.5
21/12/1998        76.63              64.36596589      -1.5
22/12/1998        89.92              49.96056152      -1.5
23/12/1998        70.92              46.97034879      -1.5
24/12/1998        72.32              43.71821962      -1.5
25/12/1998        64.39              48.78193752      -1.5
26/12/1998        76.01              51.79397662      -1.5
27/12/1998        81.73              51.00822729      -1.5
28/12/1998        89.67              48.14897279      -1.5
29/12/1998        84.41              55.98463971      -1.5
30/12/1998        81.92              50.35343618      -1.5
31/12/1998        75.19              57.35970103      -1.5
01/01/1999        62.67              48.74594488      -1.5
02/01/1999        67.97              52.07681102      -1.5
03/01/1999        58.05              53.84900262      -1.5
04/01/1999         69.6              56.28309711      -1.5
05/01/1999        71.23              57.07311024      -1.5
06/01/1999        68.29              57.41473753      -1.5
07/01/1999        66.78              57.22257218      -1.5
08/01/1999        72.39              54.93793963      -1.5
09/01/1999        97.14              58.90935696      -1.5
10/01/1999       112.19              53.63548556      -1.5
11/01/1999       121.82              58.80259843      -1.5
12/01/1999       104.83              58.73854331      -1.5
13/01/1999        76.61              48.63918635      -1.5
14/01/1999        77.26               51.6284252      -1.5
15/01/1999        81.98              55.96282152      -1.5
16/01/1999        67.43              56.28309711      -1.5
17/01/1999        62.33               48.1053937      -1.5
18/01/1999           75              64.09782152      -1.5
19/01/1999        75.89              56.38985564      -1.5
20/01/1999        77.72              57.45744094      -1.5
21/01/1999        85.98              57.75636483      -1.5
22/01/1999       106.27               50.5608399      -1.5
23/01/1999       136.26              59.10152231      -1.5
24/01/1999       113.84              50.43272966      -1.5
25/01/1999        99.06              51.97005249      -1.5
26/01/1999        98.69              59.61396325      -1.5
27/01/1999        91.45              53.55007874      -1.5
28/01/1999        87.56              49.62136483      -1.5
29/01/1999           87              49.53595801      -1.5
30/01/1999        72.52              50.36867454      -1.5
31/01/1999         63.6              48.83135171      -1.5
01/02/1999        71.41              56.96599742      -1.3
02/02/1999        67.91              54.78226586      -1.3
03/02/1999        64.06              53.29144912      -1.3
04/02/1999        67.67              59.75865413      -1.3
05/02/1999        66.53               51.7166427      -1.3
06/02/1999        67.62              51.50666851      -1.3
