dia           fecha             y
VIERNES       27/07/01          5014
SÁBADO        28/07/01          2426
DOMINGO       29/07/01          750
LUNES         30/07/01          5286
MARTES        31/07/01          4855
MIÉRCOLES     01/08/01          4805
JUEVES        02/08/01          4460
VIERNES       03/08/01          4439
SÁBADO        04/08/01          2129
DOMINGO       05/08/01          782
LUNES         06/08/01          4602
MARTES        07/08/01          1272
MIÉRCOLES     08/08/01          4934
JUEVES        09/08/01          4809
VIERNES       10/08/01          4663
SÁBADO        11/08/01          2132
DOMINGO       12/08/01          739
LUNES         13/08/01          4406
MARTES        14/08/01          4813
MIÉRCOLES     15/08/01          5462
JUEVES        16/08/01          4905
VIERNES       17/08/01          4589
SÁBADO        18/08/01          2406
DOMINGO       19/08/01          717
LUNES         20/08/01          884
MARTES        21/08/01          5332
MIÉRCOLES     22/08/01          4971
JUEVES        23/08/01          4625
VIERNES       24/08/01          4826
SÁBADO        25/08/01          2417
DOMINGO       26/08/01          929
LUNES         27/08/01          4324
MARTES        28/08/01          4367
MIÉRCOLES     29/08/01          4474
JUEVES        30/08/01          4405
VIERNES       31/08/01          4513
SABADO        01/09/01          2574
DOMINGO       02/09/01          887
LUNES         03/09/01          4704
MARTES        04/09/01          4684
MIÉRCOLES     05/09/01          4685
JUEVES        06/09/01          4799
VIERNES       07/09/01          4928
SÁBADO        08/09/01          2410
DOMINGO       09/09/01          932
LUNES         10/09/01          4857
MARTES        11/09/01          4306
MIÉRCOLES     12/09/01          4126
JUEVES        13/09/01          3943
VIERNES       14/09/01          4954
SÁBADO        15/09/01          2587
DOMINGO       16/09/01          828
LUNES         17/09/01          4872
MARTES        18/09/01          4948
MIÉRCOLES     19/09/01          4320
JUEVES        20/09/01          4687
VIERNES       21/09/01          4631
SÁBADO        22/09/01          2097
DOMINGO       23/09/01          828
LUNES         24/09/01          4518
MARTES        25/09/01          4440
MIÉRCOLES     26/09/01          4600
JUEVES        27/09/01          4676
VIERNES       28/09/01          5171
SÁBADO        29/09/01          2680
DOMINGO       30/09/01          946
LUNES         01/10/01          6346
MARTES        02/10/01          5156
MIÉRCOLES     03/10/01          5126
JUEVES        04/10/01          4818
VIERNES       05/10/01          5084
SÁBADO        06/10/01          2231
DOMINGO       07/10/01          750
LUNES         08/10/01          4799
MARTES        09/10/01          5035
MIÉRCOLES     10/10/01          4576
JUEVES        11/10/01          3948
VIERNES       12/10/01          4690
SÁBADO        13/10/01          2675
DOMINGO       14/10/01          855
LUNES         15/10/01          1034
MARTES        16/10/01          4695
MIÉRCOLES     17/10/01          5241
JUEVES        18/10/01          5183
VIERNES       19/10/01          4986
SÁBADO        20/10/01          2478
DOMINGO       21/10/01          909
LUNES         22/10/01          4540
MARTES        23/10/01          4618
MIÉRCOLES     24/10/01          4152
JUEVES        25/10/01          4312
VIERNES       26/10/01          4212
SÁBADO        27/10/01          2366
DOMINGO       28/10/01          811
LUNES         29/10/01          4550
MARTES        30/10/01          5071
MIÉRCOLES     31/10/01          4484
JUEVES        01/11/01          4589
VIERNES       02/11/01          4906
SÁBADO        03/11/01          2536
DOMINGO       04/11/01          744
LUNES         05/11/01          813
MARTES        06/11/01          5152
MIÉRCOLES     07/11/01          4548
JUEVES        08/11/01          4571
VIERNES       09/11/01          4318
SÁBADO        10/11/01          2250
DOMINGO       11/11/01          689
LUNES         12/11/01          821
MARTES        13/11/01          4800
MIÉRCOLES     14/11/01          4838
JUEVES        15/11/01          5420
VIERNES       16/11/01          5363
SÁBADO        17/11/01          2865
DOMINGO       18/11/01          1050
LUNES         19/11/01          5058
MARTES        20/11/01          5079
MIÉRCOLES     21/11/01          4548
JUEVES        22/11/01          4573
VIERNES       23/11/01          5765
SÁBADO        24/11/01          2493
DOMINGO       25/11/01          954
LUNES         26/11/01          4742
MARTES        27/11/01          4654
MIÉRCOLES     28/11/01          4801
JUEVES        29/11/01          4620
VIERNES       30/11/01          5712
DOMINGO       01/12/01          1943
LUNES         02/12/01          8209
MARTES        03/12/01          7219
MIERCOLES     04/12/01          6660
JUEVES        05/12/01          5762
VIERNES       06/12/01          5382
SÁBADO        07/12/01          2429
DOMINGO       08/12/01          964
LUNES         09/12/01          5256
MARTES        10/12/01          5042
MIÉRCOLES     11/12/01          4537
JUEVES        12/12/01          4873
VIERNES       13/12/01          5536
SÁBADO        14/12/01          3232
DOMINGO       15/12/01          1153
LUNES         16/12/01          7447
MARTES        17/12/01          7125
MIÉRCOLES     18/12/01          5414
JUEVES        19/12/01          5515
VIERNES       20/12/01          6500
SÁBADO        21/12/01          3606
DOMINGO       22/12/01          1434
LUNES         23/12/01          7189
MARTES        24/12/01          4299
MIÉRCOLES     25/12/01          777
JUEVES        26/12/01          6584
VIERNES       27/12/01          6517
SÁBADO        28/12/01          3301
DOMINGO       29/12/01          1410
LUNES         30/12/01          7016
MARTES        31/12/01          3255
MARTES        01/01/02          472
MIERCOLES     02/01/02          5952
JUEVES        03/01/02          5117
VIERNES       04/01/02          5042
SÁBADO        05/01/02          2476
DOMINGO       06/01/02          781
LUNES         07/01/02          891
MARTES        08/01/02          5171
MIÉRCOLES     09/01/02          4903
JUEVES        10/01/02          4702
VIERNES       11/01/02          4363
SÁBADO        12/01/02          2338
DOMINGO       13/01/02          1211
LUNES         14/01/02          5680
MARTES        15/01/02          6770
MIÉRCOLES     16/01/02          6067
JUEVES        17/01/02          4989
VIERNES       18/01/02          4926
SÁBADO        19/01/02          2501
DOMINGO       20/01/02          975
LUNES         21/01/02          5159
MARTES        22/01/02          4796
MIÉRCOLES     23/01/02          4755
JUEVES        24/01/02          4405
VIERNES       25/01/02          4765
SÁBADO        26/01/02          2368
DOMINGO       27/01/02          915
LUNES         28/01/02          5077
MARTES        29/01/02          4743
MIÉRCOLES     30/01/02          5152
JUEVES        31/01/02          5443
VIERNES       01/02/02          5325
SÁBADO        02/02/02          2458
DOMINGO       03/02/02          894
LUNES         04/02/02          4813
MARTES        05/02/02          4762
MIÉRCOLES     06/02/02          4595
JUEVES        07/02/02          4689
VIERNES       08/02/02          4509
SÁBADO        09/02/02          2351
DOMINGO       10/02/02          906
LUNES         11/02/02          4450
MARTES        12/02/02          3909
MIÉRCOLES     13/02/02          7540
JUEVES        14/02/02          5197
VIERNES       15/02/02          6028
SÁBADO        16/02/02          3395
DOMINGO       17/02/02          1083
LUNES         18/02/02          5851
MARTES        19/02/02          5151
MIÉRCOLES     20/02/02          4788
JUEVES        21/02/02          4398
VIERNES       22/02/02          4291
SÁBADO        23/02/02          2380
DOMINGO       24/02/02          799
LUNES         25/02/02          5310
MARTES        26/02/02          4815
MIÉRCOLES     27/02/02          4939
JUEVES        28/02/02          5312
VIERNES       01/03/02          5359
SÁBADO        02/03/02          2659
DOMINGO       03/03/02          876
LUNES         04/03/02          5486
MARTES        05/03/02          5190
MIÉRCOLES     06/03/02          5189
JUEVES        07/03/02          4761
VIERNES       08/03/02          4289
SÁBADO        09/03/02          2278
DOMINGO       10/03/02          719
LUNES         11/03/02          4757
MARTES        12/03/02          4395
