dia           fecha             y
LUNES         26/05/03          6591
MARTES        27/05/03          5886
MIÉRCOLES     28/05/03          4748
JUEVES        29/05/03          4723
VIERNES       30/05/03          7242
SÁBADO        31/05/03          3523
DOMINGO       01/06/03          1001
LUNES         02/06/03          1285
MARTES        03/06/03          7083
MIÉRCOLES     04/06/03          5777
JUEVES        05/06/03          5715
VIERNES       06/06/03          5743
SÁBADO        07/06/03          2463
DOMINGO       08/06/03          995
LUNES         09/06/03          5314
MARTES        10/06/03          5170
MIÉRCOLES     11/06/03          4713
JUEVES        12/06/03          4972
VIERNES       13/06/03          6591
SÁBADO        14/06/03          4107
DOMINGO       15/06/03          1321
LUNES         16/06/03          7037
MARTES        17/06/03          5620
MIÉRCOLES     18/06/03          5325
JUEVES        19/06/03          5473
VIERNES       20/06/03          6360
SÁBADO        21/06/03          3062
DOMINGO       22/06/03          862
LUNES         23/06/03          927
MARTES        24/06/03          6093
MIÉRCOLES     25/06/03          6074
JUEVES        26/06/03          7258
VIERNES       27/06/03          8951
SÁBADO        28/06/03          4610
DOMINGO       29/06/03          1032
LUNES         30/06/03          1289
MARTES        01/07/03          8481
MIÉRCOLES     02/07/03          7081
JUEVES        03/07/03          6393
VIERNES       04/07/03          6586
SÁBADO        05/07/03          3265
DOMINGO       06/07/03          1083
LUNES         07/07/03          6872
MARTES        08/07/03          5875
MIÉRCOLES     09/07/03          5325
JUEVES        10/07/03          5104
VIERNES       11/07/03          5288
SÁBADO        12/07/03          2706
DOMINGO       13/07/03          968
LUNES         14/07/03          6323
MARTES        15/07/03          7241
MIÉRCOLES     16/07/03          5831
JUEVES        17/07/03          5636
VIERNES       18/07/03          5560
SÁBADO        19/07/03          2745
DOMINGO       20/07/03          1020
LUNES         21/07/03          5615
MARTES        22/07/03          4886
MIÉRCOLES     23/07/03          4910
JUEVES        24/07/03          4534
VIERNES       25/07/03          4904
SÁBADO        26/07/03          2569
DOMINGO       27/07/03          1005
LUNES         28/07/03          5724
MARTES        29/07/03          5827
MIÉRCOLES     30/07/03          7740
JUEVES        31/07/03          6943
VIERNES       01/08/03          5802
SÁBADO        02/08/03          2739
DOMINGO       03/08/03          1080
LUNES         04/08/03          5939
MARTES        05/08/03          6271
MIÉRCOLES     06/08/03          5630
JUEVES        07/08/03          1428
VIERNES       08/08/03          5476
SÁBADO        09/08/03          2446
DOMINGO       10/08/03          943
LUNES         11/08/03          5519
MARTES        12/08/03          5073
MIÉRCOLES     13/08/03          4890
JUEVES        14/08/03          5871
VIERNES       15/08/03          7515
SÁBADO        16/08/03          3609
DOMINGO       17/08/03          911
LUNES         18/08/03          1067
MARTES        19/08/03          6693
MIÉRCOLES     20/08/03          6326
JUEVES        21/08/03          5409
VIERNES       22/08/03          5566
SÁBADO        23/08/03          2372
DOMINGO       24/08/03          861
LUNES         25/08/03          5105
MARTES        26/08/03          4840
MIÉRCOLES     27/08/03          4520
JUEVES        28/08/03          4580
VIERNES       29/08/03          6145
SÁBADO        30/08/03          3519
DOMINGO       31/08/03          1267
LUNES         01/09/03          6418
MARTES        02/09/03          5447
MIÉRCOLES     03/09/03          5093
JUEVES        04/09/03          4866
VIERNES       05/09/03          5544
SÁBADO        06/09/03          2703
DOMINGO       07/09/03          866
LUNES         08/09/03          4168
MARTES        09/09/03          5018
MIÉRCOLES     10/09/03          4544
JUEVES        11/09/03          4212
VIERNES       12/09/03          4861
SÁBADO        13/09/03          3076
DOMINGO       14/09/03          1208
LUNES         15/09/03          7023
MARTES        16/09/03          6008
MIÉRCOLES     17/09/03          5150
JUEVES        18/09/03          4759
VIERNES       19/09/03          5221
SÁBADO        20/09/03          2430
DOMINGO       21/09/03          825
LUNES         22/09/03          5051
MARTES        23/09/03          4690
MIÉRCOLES     24/09/03          4226
JUEVES        25/09/03          4421
VIERNES       26/09/03          5100
SÁBADO        27/09/03          2607
DOMINGO       28/09/03          1005
LUNES         29/09/03          5927
MARTES        30/09/03          7131
MIÉRCOLES     01/10/03          7193
JUEVES        02/10/03          6164
VIERNES       03/10/03          6994
SÁBADO        04/10/03          3692
DOMINGO       05/10/03          1332
LUNES         06/10/03          6633
MARTES        07/10/03          5986
MIÉRCOLES     08/10/03          5330
JUEVES        09/10/03          3313
VIERNES       10/10/03          5504
SÁBADO        11/10/03          2789
DOMINGO       12/10/03          874
LUNES         13/10/03          1069
MARTES        14/10/03          8236
MIÉRCOLES     15/10/03          9250
JUEVES        16/10/03          6929
VIERNES       17/10/03          6160
SÁBADO        18/10/03          2742
DOMINGO       19/10/03          1153
LUNES         20/10/03          7320
MARTES        21/10/03          6070
MIÉRCOLES     22/10/03          5479
JUEVES        23/10/03          5038
VIERNES       24/10/03          5541
SÁBADO        25/10/03          2391
DOMINGO       26/10/03          1055
LUNES         27/10/03          6135
MARTES        28/10/03          5437
MIÉRCOLES     29/10/03          5654
JUEVES        30/10/03          6475
VIERNES       31/10/03          7164
SÁBADO        01/11/03          3653
DOMINGO       02/11/03          1114
LUNES         03/11/03          1283
MARTES        04/11/03          8154
MIÉRCOLES     05/11/03          7823
JUEVES        06/11/03          7669
VIERNES       07/11/03          5894
SÁBADO        08/11/03          2984
DOMINGO       09/11/03          1134
LUNES         10/11/03          6003
MARTES        11/11/03          5704
MIÉRCOLES     12/11/03          5751
JUEVES        13/11/03          6001
VIERNES       14/11/03          8866
SÁBADO        15/11/03          4331
DOMINGO       16/11/03          1228
LUNES         17/11/03          1293
MARTES        18/11/03          8227
MIÉRCOLES     19/11/03          7314
JUEVES        20/11/03          7072
VIERNES       21/11/03          6355
SÁBADO        22/11/03          3193
DOMINGO       23/11/03          1401
LUNES         24/11/03          6032
MARTES        25/11/03          5082
MIÉRCOLES     26/11/03          5750
JUEVES        27/11/03          6012
VIERNES       28/11/03          9076
SÁBADO        29/11/03          4461
DOMINGO       30/11/03          1761
LUNES         01/12/03         6.271
MARTES        02/12/03          6736
MIÉRCOLES     03/12/03          6528
JUEVES        04/12/03          6625
VIERNES       05/12/03          8570
SÁBADO        06/12/03          3672
DOMINGO       07/12/03          1246
LUNES         08/12/03          1296
MARTES        09/12/03          7753
MIÉRCOLES     10/12/03          7239
JUEVES        11/12/03          6921
VIERNES       12/12/03          8841
SÁBADO        13/12/03          4548
DOMINGO       14/12/03          1939
LUNES         15/12/03         12940
MARTES        16/12/03         12014
MIÉRCOLES     17/12/03          8848
JUEVES        18/12/03          9304
VIERNES       19/12/03         10164
SÁBADO        20/12/03          5036
DOMINGO       21/12/03          1869
LUNES         22/12/03         11281
MARTES        23/12/03         11186
MIÉRCOLES     24/12/03          6548
JUEVES        25/12/03          1080
VIERNES       26/12/03          7538
SÁBADO        27/12/03          3702
DOMINGO       28/12/03          1490
LUNES         29/12/03          9869
MARTES        30/12/03         11361
MIÉRCOLES     31/12/03          3908
JUEVES        01/01/04          715
VIERNES       02/01/04          6290
SÁBADO        03/01/04          2790
DOMINGO       04/01/04          1244
LUNES         05/01/04          7472
MARTES        06/01/04          7046
MIÉRCOLES     07/01/04          5871
JUEVES        08/01/04          5452
VIERNES       09/01/04          5955
SÁBADO        10/01/04          2757
DOMINGO       11/01/04          935
LUNES         12/01/04          1201
MARTES        13/01/04          7117
MIÉRCOLES     14/01/04          7496
JUEVES        15/01/04          9000
VIERNES       16/01/04         10087
SÁBADO        17/01/04          3367
DOMINGO       18/01/04          1284
LUNES         19/01/04          7387
MARTES        20/01/04          7076
MIÉRCOLES     21/01/04          5982
JUEVES        22/01/04          6093
VIERNES       23/01/04         21291
SÁBADO        24/01/04          8027
DOMINGO       25/01/04          2921
LUNES         26/01/04         14360
MARTES        27/01/04         10176
MIÉRCOLES     28/01/04          8137
JUEVES        29/01/04          8512
VIERNES       30/01/04          5403
SÁBADO        31/01/04          5403
DOMINGO       01/02/04          1819
LUNES         02/02/04          8672
MARTES        03/02/04          7459
MIÉRCOLES     04/02/04          6270
JUEVES        05/02/04          6249
VIERNES       06/02/04          6600
SÁBADO        07/02/04          2904
DOMINGO       08/02/04          1047
LUNES         09/02/04          5842
MARTES        10/02/04          5772
MIÉRCOLES     11/02/04          5493
JUEVES        12/02/04          5731
VIERNES       13/02/04          8889
SÁBADO        14/02/04          4409
DOMINGO       15/02/04          1518
LUNES         16/02/04          8199
MARTES        17/02/04          7332
MIÉRCOLES     18/02/04          5730
JUEVES        19/02/04          5692
VIERNES       20/02/04          6632
SÁBADO        21/02/04          2851
DOMINGO       22/02/04          1217
LUNES         23/02/04          5896
MARTES        24/02/04          5293
MIÉRCOLES     25/02/04          5831
JUEVES        26/02/04          7010
VIERNES       27/02/04         10199
SÁBADO        28/02/04          4492
DOMINGO       29/02/04          1547
LUNES         01/03/04          8202
MARTES        02/03/04          6858
MIÉRCOLES     03/03/04          6407
JUEVES        04/03/04          6109
VIERNES       05/03/04          6923
SÁBADO        06/03/04          3306
DOMINGO       07/03/04          1318
LUNES         08/03/04          6128
MARTES        09/03/04          5648
MIÉRCOLES     10/03/04          5541
JUEVES        11/03/04          5205
VIERNES       12/03/04          6373
SÁBADO        13/03/04          3719
DOMINGO       14/03/04          1444
LUNES         15/03/04          9235
MARTES        16/03/04          9136
MIÉRCOLES     17/03/04          6138
JUEVES        18/03/04          5718
VIERNES       19/03/04          6617
SÁBADO        20/03/04          3444
DOMINGO       21/03/04          1075
LUNES         22/03/04          1048
MARTES        23/03/04          6137
MIÉRCOLES     24/03/04          5378
JUEVES        25/03/04          5618
VIERNES       26/03/04          6718
SÁBADO        27/03/04          3173
DOMINGO       28/03/04          1202
LUNES         29/03/04          6710
MARTES        30/03/04          8214
MIÉRCOLES     31/03/04          7882
JUEVES        01/04/04          7528
VIERNES       02/04/04          7157
SÁBADO        03/04/04          3228
DOMINGO       04/04/04          1232
LUNES         05/04/04          7602
MARTES        06/04/04          6113
MIÉRCOLES     07/04/04          5858
JUEVES        08/04/04          1188
VIERNES       09/04/04          669
SÁBADO        10/04/04          1724
DOMINGO       11/04/04          999
LUNES         12/04/04          6434
MARTES        13/04/04          5593
MIÉRCOLES     14/04/04          8142
JUEVES        15/04/04          9000
VIERNES       16/04/04         11146
SÁBADO        17/04/04          3946
DOMINGO       18/04/04          1469
LUNES         19/04/04          8772
MARTES        20/04/04          6972
MIÉRCOLES     21/04/04          5805
JUEVES        22/04/04          5142
VIERNES       23/04/04          5365
SÁBADO        24/04/04          2565
DOMINGO       25/04/04          1133
LUNES         26/04/04          6105
MARTES        27/04/04          5389
MIÉRCOLES     28/04/04          5402
JUEVES        29/04/04          6237
VIERNES       30/04/04         10797
SÁBADO        01/05/04          3172
DOMINGO       02/05/04          1380
LUNES         03/05/04          8249
MARTES        04/05/04          7197
MIÉRCOLES     05/05/04          6875
JUEVES        06/05/04          5705
VIERNES       07/05/04          6214
SÁBADO        08/05/04          3057
DOMINGO       09/05/04          984
LUNES         10/05/04          5846
MARTES        11/05/04          5818
MIÉRCOLES     12/05/04          5349
JUEVES        13/05/04          5654
VIERNES       14/05/04          8919
SÁBADO        15/05/04          4135
DOMINGO       16/05/04          1269
LUNES         17/05/04          7160
MARTES        18/05/04          6230
MIÉRCOLES     19/05/04          5966
JUEVES        20/05/04          5913
VIERNES       21/05/04          5966
SÁBADO        22/05/04          2735
DOMINGO       23/05/04          880
LUNES         24/05/04          1083
MARTES        25/05/04          6471
MIÉRCOLES     26/05/04          6571
JUEVES        27/05/04          6334
VIERNES       28/05/04          8580
SÁBADO        29/05/04          4542
DOMINGO       30/05/04          1647
LUNES         31/05/04          9801
MARTES        01/06/04          7688
MIÉRCOLES     02/06/04          7139
JUEVES        03/06/04          6319
VIERNES       04/06/04          7134
SÁBADO        05/06/04          3885
DOMINGO       06/06/04          1341
LUNES         07/06/04         11567
MARTES        08/06/04          8686
MIÉRCOLES     09/06/04          7801
JUEVES        10/06/04          7695
VIERNES       11/06/04          8933
SÁBADO        12/06/04          6169
DOMINGO       13/06/04          1633
LUNES         14/06/04          1684
MARTES        15/06/04         19636
MIÉRCOLES     16/06/04         13895
JUEVES        17/06/04         10022
VIERNES       18/06/04          9240
SÁBADO        19/06/04          3923
DOMINGO       20/06/04          1147
LUNES         21/06/04          1326
MARTES        22/06/04         10964
MIÉRCOLES     23/06/04          7686
JUEVES        24/06/04          7449
VIERNES       25/06/04          8350
SÁBADO        26/06/04          4361
DOMINGO       27/06/04          2651
LUNES         28/06/04          8632
MARTES        29/06/04          8855
MIÉRCOLES     30/06/04         10603
JUEVES        01/07/04          8305
VIERNES       02/07/04          7958
SÁBADO        03/07/04          3558
DOMINGO       04/07/04          1122
LUNES         05/07/04          1320
MARTES        06/07/04          8737
MIÉRCOLES     07/07/04          7162
JUEVES        08/07/04          6471
VIERNES       09/07/04          6741
SÁBADO        10/07/04          2854
DOMINGO       11/07/04          1158
LUNES         12/07/04          6639
MARTES        13/07/04          6141
MIÉRCOLES     14/07/04          6797
JUEVES        15/07/04          8535
VIERNES       16/07/04          7589
SÁBADO        17/07/04          3479
DOMINGO       18/07/04          1240
LUNES         19/07/04          7421
MARTES        20/07/04          1676
MIÉRCOLES     21/07/04          7570
JUEVES        22/07/04          6271
VIERNES       23/07/04          6606
SÁBADO        24/07/04          3031
DOMINGO       25/07/04          1249
LUNES         26/07/04          6931
MARTES        27/07/04          5862
MIÉRCOLES     28/07/04          6061
JUEVES        29/07/04          6909
VIERNES       30/07/04          9681
SÁBADO        31/07/04          4444
