# Foreign Exchange Rate: United Kingdom 
# (US$/Pound), Average of daily figures 
# Noon buying rates in New York City for cable transfers payable in foreign currencies 
# Source: G.5 Release -- Federal Reserve Board of Governors 
fecha plibra 
1994.06 1.52624 
1994.07 1.54673 
1994.08 1.54221 
1994.09 1.56609 
1994.10 1.60638 
1994.11 1.58923 
1994.12 1.55866 
1995.01 1.57461 
1995.02 1.57202 
1995.03 1.60019 
1995.04 1.60728 
1995.05 1.58737 
1995.06 1.59481 
1995.07 1.59516 
1995.08 1.56680 
1995.09 1.55897 
1995.10 1.57793 
1995.11 1.56248 
1995.12 1.54051 
1996.01 1.52877 
1996.02 1.53596 
1996.03 1.52706 
1996.04 1.51604 
1996.05 1.51524 
1996.06 1.54159 
1996.07 1.55300 
1996.08 1.54988 
1996.09 1.55929 
1996.10 1.58631 
1996.11 1.66231 
1996.12 1.66393 
1997.01 1.65851 
1997.02 1.62563 
1997.03 1.60956 
1997.04 1.62932 
1997.05 1.63217 
1997.06 1.64487 
1997.07 1.66938 
1997.08 1.60352 
1997.09 1.60128 
1997.10 1.63301 
1997.11 1.68891 
1997.12 1.65970 
1998.01 1.63496 
1998.02 1.64081 
1998.03 1.66193 
1998.04 1.67228 
1998.05 1.63824 
1998.06 1.65036 
1998.07 1.64369 
1998.08 1.63420 
1998.09 1.68225 
1998.10 1.69442 
1998.11 1.66108 
1998.12 1.67080 
1999.01 1.64975 
1999.02 1.62764 
1999.03 1.6213
